step,active_clusters,merge_distance,merged_cluster_size,merged_cluster_diameter,global_avg_dist
68,9932,0.3620689655172413,2,0.3620689655172413,0.0014849232163399986
69,9931,0.36363636363636365,5,0.574468085106383,0.0014877423492772415
70,9930,0.36363636363636365,5,0.6119402985074627,0.0014906172736748582
71,9929,0.36363636363636365,2,0.36363636363636365,0.0015273910656891636
72,9928,0.3650793650793651,2,0.3650793650793651,0.001564317612440277
73,9927,0.3650793650793651,2,0.3650793650793651,0.0016012515988099564
74,9926,0.3650793650793651,2,0.3650793650793651,0.001638193027046726
75,9925,0.3650793650793651,2,0.3650793650793651,0.0016751418994000167
76,9924,0.3653846153846154,2,0.3653846153846154,0.0017121289769175517
77,9923,0.3666666666666667,2,0.3666666666666667,0.001749252709220644
78,9922,0.36734693877551017,5,0.5272727272727273,0.0017517621234745052
79,9921,0.368421052631579,2,0.368421052631579,0.0017890741701184982
80,9920,0.36923076923076925,2,0.36923076923076925,0.0018264753640097164
81,9919,0.36923076923076925,2,0.36923076923076925,0.0018638840992244335
82,9918,0.3695652173913043,2,0.3695652173913043,0.0019013340993747187
83,9917,0.3695652173913043,2,0.3695652173913043,0.0019387916522123389
84,9916,0.37037037037037035,2,0.37037037037037035,0.0019763379573779884
85,9915,0.37037037037037035,3,0.5254237288135593,0.001984671356578187
86,9914,0.37037037037037035,2,0.37037037037037035,0.00202222986391397
87,9913,0.37037037037037035,6,0.6119402985074627,0.002022594370033318
88,9912,0.37037037037037035,3,0.5084745762711864,0.002027442768910468
89,9911,0.37037037037037035,3,0.38888888888888884,0.0020333993253779732
90,9910,0.3709677419354839,2,0.3709677419354839,0.0020710381892791703
91,9909,0.3709677419354839,2,0.3709677419354839,0.0021086846500849793
92,9908,0.37254901960784315,2,0.37254901960784315,0.0021464983061465384
